Date,daily_return,fwd_return_1d,fwd_return_3d,fwd_return_5d,fwd_return_10d
2007-10-18,-0.03746871224895365,-0.03289898876816964,0.025334129714191033,0.0637924204205922,0.10671873931100546
2007-11-20,-0.02145523213041356,-0.04489681522118073,-0.008150413747988802,-0.027903717977771324,0.027895099460227318
2007-12-17,-0.044760849012045356,-0.0045780592054527666,0.03591456599500107,0.05259967758360958,0.06939727572939841
2008-01-15,-0.021355579180658557,-0.025028821877576258,-0.14117068348103876,-0.14206102187242375,-0.14796371019682605
2008-01-30,-0.02143609135320157,0.02803422108366765,0.060254222503504276,-0.0075402387742278506,0.005751848808545604
2008-02-20,-0.02392622595972027,-0.008949156124355918,0.02194145794691976,0.024859934794203495,-0.0747153933533567
2008-03-07,-0.03043845402934231,0.0205755488222895,-0.030244497029736635,-0.055518209210673734,0.012804709817876146
2008-03-31,-0.04198704977741807,0.003917158859139726,-0.018719690891819456,-0.005490270720209317,0.03202303917540357
2008-06-02,-0.02679616381248584,-0.032430889237948235,-0.02352668212500899,-0.06108497287166011,-0.018209399751867025
2008-06-20,-0.03478940896098126,-0.03678333504467154,-0.008112753060630187,-0.07138339530622012,-0.07380805294038764
2008-07-11,-0.027197200999602766,-0.04604129903117649,-0.024768681814329587,0.027684109792557827,0.07032826839574856
2008-07-29,-0.032836268043981764,0.033820861183995764,0.04870917465886603,0.0778654309426675,0.08060927505988762
2008-08-14,-0.0217152854608067,-0.01409488174771332,-0.033143767617500146,-0.021520322624655693,-0.0185185838246415
2008-09-05,-0.021460332822775596,0.025331068437802425,-0.0156024144843968,-0.06548422897314056,-0.03103274351492158
2008-09-23,-0.022767882641835158,-0.0036842259740653216,-0.06682420194434345,-0.04241653032781918,-0.20500516241365208
2008-10-10,-0.06651201959990027,0.07508631712934956,-0.0010998972235744563,-0.045861425034153136,-0.2287573630454524
2008-10-27,-0.023142433757014302,0.07459131016496152,0.1701113620533669,0.07721664236594836,0.046568370965731486
2008-11-18,-0.04157816236687728,-0.04830867492544963,0.009505171931786413,0.025906252912123753,0.039232131208647845
2008-12-05,-0.02639888725116568,0.07866432853322897,0.07612264714381005,0.12047373732295713,0.09354623190023284
2008-12-23,-0.023245531980830902,-0.03712000605538539,0.004077676772413771,0.02674061476971024,-0.06547813273635132
2009-01-12,-0.03477198132396453,0.021729747325450452,0.01926124366554054,0.007783818975225225,0.026846846846846847
